"","module_id","module_title","module_hierarchy_level","module_no"
"courseHierarchy",i4x://PurdueX/nano515x/course/2015_T2,"Organic Electronic Devices",0,0
"",i4x://PurdueX/nano515x/chapter/f130738d2a85475e93b110487c80f462,"Welcome",1,1
".1",i4x://PurdueX/nano515x/sequential/c5bdada0487143d296aaaef10aa0a2a4,"Technical Overview",2,2
".3",i4x://PurdueX/nano515x/video/d0b5db07fed8429d8940c34f74103534,"Course Technical Overview",4,3
".6",i4x://PurdueX/nano515x/sequential/92a3dc0ff08f45a9bc860eca20b718e7,"Course Information",2,4
".18",i4x://PurdueX/nano515x/sequential/54c8e999a79e47c1a720d4e71d0cb3fc,"Prerequisites",2,5
".22",i4x://PurdueX/nano515x/chapter/15b9d600840041ca97d179493dd649f9,"Week 1: Semiconductor Synthesis and Characterization",1,6
".23",i4x://PurdueX/nano515x/sequential/fbb26834049d47289e985b029bc3798e,"L1.1: An Introduction to Organic Electronic Materials",2,7
".25",i4x://PurdueX/nano515x/video/7cda5f9a3c79449da06ff11f6008e187,"L1.1 Lecture",4,8
".29",i4x://PurdueX/nano515x/problem/e8b6b53490744061bd53ad7e01214ea0,"Question 1",4,9
".30",i4x://PurdueX/nano515x/problem/7bf1658f3d214522a8d21bbc74f81499,"Question 2",4,10
".31",i4x://PurdueX/nano515x/problem/60313e48953f425ea15c8f4135d08aea,"Question 3",4,11
".33",i4x://PurdueX/nano515x/sequential/7e17c580714b4f18b8f27df61de5a6cb,"L1.2: Synthesis of Poly (3-alkylthiophenes) (P3ATs)",2,12
".35",i4x://PurdueX/nano515x/video/1e72653a1ab945939288f65e42aea47b,"L1.2 Lecture ",4,13
".39",i4x://PurdueX/nano515x/problem/3f35e087e89f44afa57e384899abc3dd,"Question 1 ",4,14
".40",i4x://PurdueX/nano515x/problem/da32340d4f904abc82141e44af19e568,"Question 2",4,15
".41",i4x://PurdueX/nano515x/problem/2e32cc0deec7404b954497e74d831504,"Question 3 ",4,16
".43",i4x://PurdueX/nano515x/sequential/87bebc7380414ac9a8dcbab69dee9127,"L1.3: Synthesis of Low Bandgap Polymers",2,17
".45",i4x://PurdueX/nano515x/video/40ff6f9ea9ac428dbf2e4e71bf7bd81c,"L1.3 Lecture ",4,18
".49",i4x://PurdueX/nano515x/problem/949d25971fc64b88a8046690ad0709ec,"Question 1",4,19
".50",i4x://PurdueX/nano515x/problem/ea173b5aaf4740fda222856ff3edc8a5,"Question 2",4,20
".51",i4x://PurdueX/nano515x/problem/101362c4d0cf48b1a4c3b9a27c01c70d,"Question 3",4,21
".53",i4x://PurdueX/nano515x/sequential/b9a05509df9e45daa289d39547e7a109,"L1.4: Molecular and Thermal Characterization",2,22
".55",i4x://PurdueX/nano515x/video/9e8dff9633f142d3b983d474db359573,"L1.4 Lecture",4,23
".59",i4x://PurdueX/nano515x/problem/9a03b6852b4a4528b04258de8a19b8a8,"Question 1",4,24
".60",i4x://PurdueX/nano515x/problem/fc6e4bd01e6c42cda68241d934cabfaa,"Question 2",4,25
".61",i4x://PurdueX/nano515x/problem/570a320b85ab4d9894bf46849babdc08,"Question 3",4,26
".63",i4x://PurdueX/nano515x/sequential/e2661bd3c8fb46649258602d14debab6,"L1.5: Structural and Optical Characterization",2,27
".65",i4x://PurdueX/nano515x/video/0a0add7a58b94aeea6e41b052737facf,"L1.5 Lecture ",4,28
".69",i4x://PurdueX/nano515x/problem/1c68f51f81ba48edae1ba5eceb88f531,"Question 1",4,29
".70",i4x://PurdueX/nano515x/problem/72d6ae03187140868ec7fcb1990c598a,"Question 2",4,30
".71",i4x://PurdueX/nano515x/problem/30f7652777a044da899642e2e1b806ce,"Question 3",4,31
".73",i4x://PurdueX/nano515x/sequential/1755806ef86c4dfc84f87006698f9265,"Week 1: Homework",2,32
".75",i4x://PurdueX/nano515x/problem/1ba69a7efec348578e9bb713eebcf0d1,"Problem 1: Part A",4,33
".76",i4x://PurdueX/nano515x/problem/43963431988c41ef8ec9de4023bb3c33,"Problem 1: Part B",4,34
".77",i4x://PurdueX/nano515x/problem/c8a2aebdf5a54aec81d964f470996113,"Problem 1: Part C ",4,35
".78",i4x://PurdueX/nano515x/problem/0670070a5cb34cecb93362802a121387,"Problem 1: Part D",4,36
".79",i4x://PurdueX/nano515x/problem/04e5380dc04e4ba5b71c6f785916228f,"Problem 2: Part A",4,37
".80",i4x://PurdueX/nano515x/problem/bc50c3a8889e41fb9e9c7783510a8440,"Problem   2: Part B",4,38
".81",i4x://PurdueX/nano515x/problem/257fd7311e824a80940a755294349275,"Problem 2: Part C",4,39
".82",i4x://PurdueX/nano515x/problem/ead52891e8da40e7add162d4333aa57f,"Problem 3: Part A ",4,40
".83",i4x://PurdueX/nano515x/problem/b23bc4e291924041a26d17b878c205bd,"Problem 3: Part B",4,41
".84",i4x://PurdueX/nano515x/problem/7feb99adf61543cbaf9ad2b083ebca62,"Problem 3: Part C",4,42
".85",i4x://PurdueX/nano515x/problem/1f94f76e38b746c581bd351159ed730d,"Problem 3: Part D ",4,43
".86",i4x://PurdueX/nano515x/problem/8449baafca034c13b2d785e34d77b16d,"Problem 4: Part A",4,44
".87",i4x://PurdueX/nano515x/problem/359f468599014584995bb19c56f18954,"Problem 4: Part B",4,45
".88",i4x://PurdueX/nano515x/problem/c3cbb92839324d7e96261e941f70247e,"Problem 4: Part C",4,46
".89",i4x://PurdueX/nano515x/problem/b14dc740264148b1b3e0815cf83edf6b,"Problem 4: Part D",4,47
".90",i4x://PurdueX/nano515x/problem/854176d7ce1349e3ac4d2417d722a701,"Problem 5: Part A",4,48
".91",i4x://PurdueX/nano515x/problem/dc11ac823163468fbe2bc66e53e7a172,"Problem 5 A continued",4,49
".92",i4x://PurdueX/nano515x/problem/306dbf81109c4f6b87e843d7c519c69b,"Problem 5: Part A continued",4,50
".93",i4x://PurdueX/nano515x/problem/4b445dd5425d42a39c6a2e86b81c0314,"Problem 5: Part B",4,51
".94",i4x://PurdueX/nano515x/problem/01d8bc36ab7a4fcba13bcfb3e4ece7aa,"Problem 5: Part B continued",4,52
".95",i4x://PurdueX/nano515x/problem/a429857911e248f79e4ca512139a354f,"Problem 5: Part B continued",4,53
".97",i4x://PurdueX/nano515x/sequential/35544db083c2411abac7230e8abc9a41,"Week 1: Homework Tutorial and Solutions",2,54
".99",i4x://PurdueX/nano515x/video/85682fb7d07b47798e8891c2f79d6fc6,"Week 1: Homework Tutorial and Solutions ",4,55
".102",i4x://PurdueX/nano515x/sequential/4b2a966bdaf445b4902a92bab43bd2b3,"Week 1: Exam",2,56
".104",i4x://PurdueX/nano515x/problem/50eba604bd044f0eaa5b409ee466956f,"Problem 1",4,57
".105",i4x://PurdueX/nano515x/problem/591e3721301f446599ed462f495c7389,"Problem 2",4,58
".106",i4x://PurdueX/nano515x/problem/6d657e7eb3d04201ba71daaa965370ac,"Problem 3",4,59
".107",i4x://PurdueX/nano515x/problem/c9dd3cd6b6a64ea697fe6517ee43280b,"Problem 4",4,60
".108",i4x://PurdueX/nano515x/problem/7e687f49113841e9bd21b9bdf28e2d1c,"Problem 5",4,61
".109",i4x://PurdueX/nano515x/problem/a986924ad5484e878a85d9e81ff964cb,"Problem 6",4,62
".110",i4x://PurdueX/nano515x/problem/bd7bff4496814d3098bbffa3367d8eb0,"Problem 7",4,63
".111",i4x://PurdueX/nano515x/problem/7a1524bb4a71429986f5e42fa6b9c953,"Problem 8: Part A ",4,64
".112",i4x://PurdueX/nano515x/problem/2be73235a0da41328e4eb5d47a8faf7f,"Problem 8: Part B",4,65
".113",i4x://PurdueX/nano515x/problem/33aa75547c97442c80a65ea55f579503,"Problem 8: Part C ",4,66
