"","module_id","module_title","module_hierarchy_level"
"",i4x://PurdueX/nano515x/vertical/84289b1748564a869296d01d6ed282e0,"Technical Overview",3
".2",i4x://PurdueX/nano515x/html/df36625008b14c98875ed660278d46d7,"WELCOME",4
".4",i4x://PurdueX/nano515x/html/d80080a315454778806fa092452dafe6,"Table of Contents",4
".5",i4x://PurdueX/nano515x/discussion/e1251b3a5cbf4af18f09ae47d60a6748,"NULL",4
".7",i4x://PurdueX/nano515x/vertical/9ee691f86a3e493dac3a0bf2e5e1c68c,"Overview",3
".8",i4x://PurdueX/nano515x/html/77ec6ce885064dd9bfa94755e5a359cd,"Overview",4
".9",i4x://PurdueX/nano515x/discussion/43e215367c4e43c097e747b09b3d6157,"NULL",4
".10",i4x://PurdueX/nano515x/vertical/4c171fb50f904386957cc83ff6be878d,"Grading",3
".11",i4x://PurdueX/nano515x/html/b07630c949354877868fa6f89424a29b,"Grading",4
".12",i4x://PurdueX/nano515x/discussion/b2b7438859534d0b944618ea71b9a0a3,"NULL",4
".13",i4x://PurdueX/nano515x/vertical/ca8ce9f100ad48e39d75380ee9fe78dd,"Schedule",3
".14",i4x://PurdueX/nano515x/html/f67f41c519df41d3854cb10f6c555999,"Schedule",4
".15",i4x://PurdueX/nano515x/discussion/6b9f9027418c47c0adcf5ee67f20c5e8,"NULL",4
".16",i4x://PurdueX/nano515x/vertical/c1d59f8d9add470e906e1789f31e985e,"Getting Help",3
".17",i4x://PurdueX/nano515x/html/8f9bcc3bb3fd4cdcb56153d4bc7a443d,"Getting Help",4
".19",i4x://PurdueX/nano515x/vertical/37800b323b4c41c8a9f650d6cd22b572,"Prerequisites",3
".20",i4x://PurdueX/nano515x/html/6530779f0ab049e799d126e11c889fb8,"Prereqs and Reading",4
".21",i4x://PurdueX/nano515x/discussion/0d9cc0dabfe44fd7a9265747b8bae8b4,"NULL",4
".24",i4x://PurdueX/nano515x/vertical/2d359aec7c034ef3b742c3712c85052b,"L1.1 Lecture",3
".26",i4x://PurdueX/nano515x/html/f56d84dc70a34914b9c9a186df499ff6,"L1.1 Table of Contents",4
".27",i4x://PurdueX/nano515x/discussion/f567bbf864d1478ea059f792db9afc84,"L1.1 Lecture Discussion",4
".28",i4x://PurdueX/nano515x/vertical/63512df7292e4f25a8d73d6d2ab68169,"L1.1 Quiz",3
".32",i4x://PurdueX/nano515x/discussion/ef38177889274282b979d7b5b1b20780,"L1.1 Quiz Discussion ",4
".34",i4x://PurdueX/nano515x/vertical/800f284081534f04862cf120a3708bff,"L1.2 Lecture",3
".36",i4x://PurdueX/nano515x/html/afc444d479e64620903d3bc70273c400,"L1.2 Table of Contents",4
".37",i4x://PurdueX/nano515x/discussion/fcc005cdb78d45ab824fa096855e3355,"L1.2 Lecture Discussion",4
".38",i4x://PurdueX/nano515x/vertical/002ea34231b44512b481a74ce9766ead,"L1.2 Quiz",3
".42",i4x://PurdueX/nano515x/discussion/3513a4ce7e59411c90762370293675d4,"L1.2 Quiz Discussion ",4
".44",i4x://PurdueX/nano515x/vertical/0c5fa8905a114a4ab840fe9079daf8b4,"L1.3 Lecture",3
".46",i4x://PurdueX/nano515x/html/155f5a02523b42b9a4920338ad76c9c0,"L1.3 Table of Contents",4
".47",i4x://PurdueX/nano515x/discussion/128466fd37bc49f9b9c9fdc30ba67d00,"L1.3 Lecture Discussion",4
".48",i4x://PurdueX/nano515x/vertical/b5d56252b99948dd89db524a59b0e243,"L1.3 Quiz",3
".52",i4x://PurdueX/nano515x/discussion/586ffa0a51db4166b3cc06f41c1de8c2,"L1.3 Quiz Discussion",4
".54",i4x://PurdueX/nano515x/vertical/196efc2e7151456d9c2036d4fa9ffcbd,"L1.4 Lecture",3
