"","x"
"1","4771710"
"2","1283485"
"3","2595898"
"4","5723568"
"5","3559308"
"6","1652355"
"7","684083"
"8","2229673"
"9","605130"
"10","2168030"
"11","174633"
"12","216887"
"13","5719338"
"14","4720145"
"15","5756544"
"16","4542260"
"17","5755281"
"18","3870993"
"19","1288671"
"20","2766969"
"21","5675131"
"22","700535"
"23","1891995"
"24","4075127"
"25","602021"
"26","5781353"
"27","5784770"
"28","4770832"
"29","5199445"
"30","3953759"
"31","5777608"
"32","1683907"
"33","4643536"
"34","3149362"
"35","3877505"
"36","486310"
"37","1475813"
"38","5814274"
"39","900521"
"40","1014792"
"41","592349"
"42","3016928"
"43","1132329"
"44","5830481"
"45","5849991"
"46","5092476"
"47","2146853"
"48","5262661"
"49","5868321"
"50","5869549"
"51","5873985"
"52","1127131"
"53","5878888"
"54","2251529"
"55","5886194"
"56","188643"
"57","1718747"
"58","369245"
"59","5902312"
"60","5906204"
"61","5111997"
"62","2693271"
"63","771668"
"64","3448506"
"65","521894"
"66","5939951"
"67","3553446"
"68","1197917"
"69","979025"
"70","719908"
"71","676549"
"72","2937293"
"73","1694368"
"74","5955989"
"75","5956073"
"76","4484317"
"77","1144202"
"78","3089519"
"79","2341382"
"80","6001836"
"81","2634198"
"82","1808119"
"83","3604804"
"84","6003724"
"85","6005675"
"86","2315187"
"87","4866435"
"88","2909034"
"89","5249351"
"90","6007718"
"91","2470112"
"92","6011960"
"93","3430348"
"94","6015197"
"95","2856836"
"96","6017457"
"97","5634243"
"98","603592"
"99","2915742"
"100","4022779"
"101","1590563"
"102","6029364"
"103","2011521"
"104","1462102"
"105","2818532"
"106","6027960"
"107","1145715"
"108","3966069"
"109","5424385"
"110","5604409"
"111","747000"
"112","4309097"
"113","484464"
"114","6039739"
"115","5733611"
"116","1122632"
"117","6023019"
"118","2841461"
"119","2159650"
"120","6050725"
"121","6051305"
"122","6051661"
"123","6052887"
"124","6055414"
"125","3112221"
"126","1803949"
"127","5921477"
"128","6060850"
"129","4008938"
"130","603171"
"131","6069607"
"132","2967561"
"133","6069589"
"134","114088"
"135","4007694"
"136","6073547"
"137","1653913"
"138","6076551"
"139","3304359"
"140","4251234"
"141","6084893"
"142","2532981"
"143","476295"
"144","1579515"
"145","6091631"
"146","6096778"
"147","6097616"
"148","6090795"
"149","6090673"
"150","2149037"
"151","2738540"
"152","1497608"
"153","5161066"
"154","1832746"
"155","6124186"
"156","5223681"
"157","6127617"
"158","1033620"
"159","4378472"
"160","1362187"
"161","2517411"
"162","2739707"
"163","6128329"
"164","6140046"
"165","6141764"
"166","3928852"
"167","4013053"
"168","5384852"
"169","6152459"
"170","6151477"
"171","1677964"
"172","6165124"
"173","5975214"
"174","4098012"
"175","623741"
"176","3772296"
"177","6174377"
"178","6175562"
"179","6179448"
"180","3289170"
"181","383989"
"182","2458925"
"183","2862048"
"184","4078472"
"185","1685263"
"186","994200"
"187","178580"
"188","1275997"
"189","6200888"
"190","4063999"
"191","3907627"
"192","6203734"
"193","5714499"
"194","3552149"
"195","5075939"
"196","6204241"
"197","6205678"
"198","708879"
"199","6207745"
"200","6212104"
"201","1832645"
"202","3612187"
"203","5974506"
"204","5992979"
"205","169535"
"206","2149662"
"207","6247743"
"208","532741"
"209","6257696"
"210","4774138"
"211","5515813"
"212","6261061"
"213","334186"
"214","1181447"
"215","6267585"
"216","6212076"
"217","1280078"
"218","3241232"
"219","6291434"
"220","6291624"
"221","6287435"
"222","6302079"
"223","6258473"
"224","3696649"
"225","2716404"
"226","6307782"
"227","4140185"
"228","5096962"
"229","1241266"
"230","732556"
"231","2970903"
"232","6311382"
"233","3316183"
"234","6318508"
"235","6344743"
"236","5438903"
"237","2127449"
"238","2117704"
"239","4558912"
"240","6348681"
"241","4403973"
"242","902369"
"243","1097081"
"244","539300"
"245","6357424"
"246","4979369"
"247","2936996"
"248","1892383"
"249","6361487"
"250","6362299"
"251","6231201"
"252","4565406"
"253","3613229"
"254","3113837"
"255","4020654"
"256","3644476"
"257","4444541"
"258","1532045"
"259","6366472"
"260","6367163"
"261","3886736"
"262","1554710"
"263","1220498"
