"","temp_student_id","number_accesses"
"1",1,2
"2",2,10
"3",3,46
"4",4,4
"5",5,3
"6",6,28
"7",7,93
"8",8,63
"9",9,11
"10",10,63
"11",11,67
"12",12,17
"13",13,3
"14",14,151
"15",15,12
"16",16,47
"17",17,186
"18",18,49
"19",19,10
"20",20,8
"21",21,16
"22",22,9
"23",23,60
"24",24,60
"25",25,59
"26",26,6
"27",27,217
"28",28,66
"29",29,87
"30",30,9
"31",31,12
"32",32,246
"33",33,225
"34",34,13
"35",35,5
"36",36,46
"37",37,29
"38",38,3
"39",39,17
"40",40,13
"41",41,67
"42",42,15
"43",43,58
"44",44,3
"45",45,66
"46",46,3
"47",47,61
"48",48,3
"49",49,4
"50",50,61
"51",51,3
"52",52,8
"53",53,266
"54",54,203
"55",55,3
"56",56,226
"57",57,30
"58",58,65
"59",59,10
"60",60,11
"61",61,199
"62",62,11
"63",63,17
"64",64,52
"65",65,63
"66",66,49
"67",67,94
"68",68,58
"69",69,3
"70",70,12
"71",71,89
"72",72,3
"73",73,9
"74",74,12
"75",75,10
"76",76,3
"77",77,216
"78",78,9
"79",79,11
"80",80,3
"81",81,65
"82",82,14
"83",83,4
"84",84,154
"85",85,96
"86",86,10
"87",87,126
"88",88,104
"89",89,167
"90",90,269
"91",91,12
"92",92,4
"93",93,2
"94",94,65
"95",95,115
"96",96,64
"97",97,45
"98",98,115
"99",99,37
"100",100,223
"101",101,87
"102",102,5
"103",103,151
"104",104,13
"105",105,4
"106",106,24
"107",107,65
"108",108,9
"109",109,58
"110",110,94
"111",111,3
"112",112,48
"113",113,4
"114",114,3
"115",115,26
"116",116,4
"117",117,10
"118",118,10
"119",119,45
"120",120,3
"121",121,12
"122",122,3
"123",123,138
"124",124,7
"125",125,271
"126",126,5
"127",127,34
"128",128,8
"129",129,3
"130",130,3
"131",131,10
"132",132,61
"133",133,3
"134",134,9
"135",135,4
"136",136,27
"137",137,26
"138",138,3
"139",139,11
"140",140,3
"141",141,100
"142",142,11
"143",143,10
"144",144,98
"145",145,12
"146",146,148
"147",147,2
"148",148,3
"149",149,5
"150",150,3
"151",151,12
"152",152,9
"153",153,265
"154",154,197
"155",155,4
"156",156,37
"157",157,28
"158",158,31
"159",159,246
"160",160,63
"161",161,66
"162",162,15
"163",163,9
"164",164,3
"165",165,8
"166",166,36
"167",167,31
"168",168,11
"169",169,12
"170",170,34
"171",171,160
"172",172,63
"173",173,3
"174",174,17
"175",175,93
"176",176,6
"177",177,239
"178",178,9
"179",179,32
"180",180,24
"181",181,3
"182",182,127
"183",183,100
"184",184,101
"185",185,14
"186",186,3
"187",187,16
"188",188,263
"189",189,79
"190",190,241
"191",191,215
"192",192,222
"193",193,41
"194",194,269
"195",195,5
"196",196,8
"197",197,166
"198",198,4
"199",199,10
"200",200,159
"201",201,34
"202",202,12
"203",203,200
"204",204,3
"205",205,11
"206",206,95
"207",207,6
"208",208,8
"209",209,15
"210",210,209
"211",211,109
"212",212,4
"213",213,49
"214",214,3
"215",215,47
"216",216,10
"217",217,3
"218",218,4
"219",219,3
"220",220,15
"221",221,191
"222",222,6
"223",223,129
"224",224,87
"225",225,27
"226",226,31
"227",227,198
"228",228,101
"229",229,3
"230",230,199
"231",231,9
"232",232,4
"233",233,3
"234",234,10
"235",235,27
"236",236,15
"237",237,256
"238",238,197
"239",239,26
"240",240,95
"241",241,148
"242",242,4
"243",243,268
"244",244,81
"245",245,3
"246",246,107
"247",247,4
"248",248,9
"249",249,127
"250",250,4
"251",251,66
"252",252,4
"253",253,4
"254",254,34
"255",255,4
"256",256,26
"257",257,239
"258",258,6
